, where, what, value
0, Driver, kernel_time, 0.000309768000
1, Driver, total_time, 0.000341597000
2, GPU[1].CommandProcessor, kernel_time, 0.000306234000
3, GPU[1].SA[0].CU[0], cu_inst_count, 3809.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 81.325282226306
5, GPU[1].SA[0].CU[0], cu_IPC, 0.012296299166
6, GPU[1].SA[0].CU[0], simd_inst_count, 2924.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 105.939808481532
8, GPU[1].SA[0].CU[1], cu_inst_count, 3809.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 81.325282226306
10, GPU[1].SA[0].CU[1], cu_IPC, 0.012296299166
11, GPU[1].SA[0].CU[1], simd_inst_count, 2924.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 105.939808481532
13, GPU[1].SA[0].CU[2], cu_inst_count, 3809.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 81.325282226306
15, GPU[1].SA[0].CU[2], cu_IPC, 0.012296299166
16, GPU[1].SA[0].CU[2], simd_inst_count, 2924.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 105.939808481532
18, GPU[1].SA[0].CU[3], cu_inst_count, 3809.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 81.325282226306
20, GPU[1].SA[0].CU[3], cu_IPC, 0.012296299166
21, GPU[1].SA[0].CU[3], simd_inst_count, 2924.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 105.939808481532
23, GPU[1].SA[1].CU[0], cu_inst_count, 3809.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 81.325282226306
25, GPU[1].SA[1].CU[0], cu_IPC, 0.012296299166
26, GPU[1].SA[1].CU[0], simd_inst_count, 2924.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 105.939808481532
28, GPU[1].SA[1].CU[1], cu_inst_count, 3809.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 81.325282226306
30, GPU[1].SA[1].CU[1], cu_IPC, 0.012296299166
